127.0.0.1 - - [29/Apr/2022:00:52:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Apr/2022:01:08:34 +0900] "GET /DataTables-1.11.3/images/sort_asc.png HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [29/Apr/2022:01:16:28 +0900] "GET /web01/mypage.jsp HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [29/Apr/2022:01:16:28 +0900] "GET /web01/images/samsung_logo.svg HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Apr/2022:01:16:31 +0900] "GET /web01/mypage.jsp HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [29/Apr/2022:01:16:31 +0900] "GET /web01/images/samsung_logo.svg HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Apr/2022:01:16:32 +0900] "GET /web01/memberList.jsp HTTP/1.1" 200 4844
0:0:0:0:0:0:0:1 - - [29/Apr/2022:01:16:32 +0900] "GET /web01/images/samsung_logo.svg HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Apr/2022:01:16:37 +0900] "GET /web01/index.jsp HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [29/Apr/2022:01:16:37 +0900] "GET /web01/images/samsung_logo.svg HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Apr/2022:01:20:12 +0900] "GET /web01/ HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [29/Apr/2022:01:20:12 +0900] "GET /web01/images/samsung_logo.svg HTTP/1.1" 404 844
